RBD,NOM_RBD,COD_COM_RBD,COD_DEPE2,LATITUD,LONGITUD,MAT_TOTAL,ESTADO_ESTAB,ENS_01,COD_ENSE2,COD_PRO_RBD,PROM_ASIS,PROM_ASIS_REP
396,INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ,3101,5,-27.363791,-70.334877,685,1,410,7,31,86.7837370242215,49.4090909090909
396,INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ,3101,5,-27.363791,-70.334877,685,1,410,7,31,86.6292134831461,31.0
397,LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO,3101,5,-27.3730793,-70.32965088,113,1,165,3,31,84.027027027027,74.5
397,LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO,3101,5,-27.3730793,-70.32965088,113,1,165,3,31,85.3529411764706,47.0
397,LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO,3101,5,-27.3730793,-70.32965088,113,1,165,6,31,75.5,48.0
397,LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO,3101,5,-27.3730793,-70.32965088,113,1,165,8,31,81.2058823529412,46.0
399,LICEO JOSÉ ANTONIO CARVAJAL,3101,5,-27.37435,-70.328217,920,1,310,5,31,92.832,85.1176470588235
399,LICEO JOSÉ ANTONIO CARVAJAL,3101,5,-27.37435,-70.328217,920,1,310,7,31,91.8885869565217,86.8636363636364
399,LICEO JOSÉ ANTONIO CARVAJAL,3101,5,-27.37435,-70.328217,920,1,310,7,31,89.7154471544715,52.4
400,LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY,3101,5,-27.369619,-70.325371,1019,1,110,2,31,88.0835913312693,66.75
400,LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY,3101,5,-27.369619,-70.325371,1019,1,110,5,31,85.7602339181286,64.9166666666667
401,ESCUELA BERNARDO O HIGGINS,3101,5,-27.362459,-70.329453,881,1,10,2,31,82.4820659971306,73.5
403,ESCUELA LAURA ROBLES SILVA,3101,5,-27.373711,-70.306473,719,1,10,2,31,83.3387888707038,68.75
405,ESCUELA LOS ESTANDARTES,3101,5,-27.36982,-70.313591,662,1,10,2,31,89.3087378640777,77.9285714285714
406,ESCUELA VICENTE SEPÚLVEDA ROJO,3101,5,-27.35685,-70.322128,847,1,10,2,31,86.6415868673051,73.8666666666667
407,ESCUELA JESÚS FERNÁNDEZ HIDALGO,3101,5,-27.374941,-70.337769,479,1,10,2,31,83.0506329113924,81.0
408,ESCUELA PEDRO LEÓN GALLO,3101,5,-27.361481,-70.324944,1070,1,10,2,31,86.0,86.0
410,ESCUELA JOSÉ MANSO DE VELASCO,3101,5,-27.36322,-70.318581,591,1,10,2,31,81.5849056603774,60.7894736842105
411,ESCUELA LAS CANTERAS,3101,5,-27.37129,-70.320618,639,1,10,2,31,81.5462962962963,63.5263157894737
413,ESCUELA LAS BRISAS,3101,5,-27.35573196,-70.3310318,259,1,10,2,31,86.7105263157895,100.0
