stop_id,stop_name,RBD,school_name,distance,score
PB241,PB241-Parada / Mall Plaza Norte - Los Libertadores,12775,INSTITUTO  DOMINGO  EYZAGUIRRE,0.019956921104297472,0.12878045051606216
PB184,PB184-Los Libertadores / Esq. Av. A. Vespucio,25482,ESC. PART. ARTISTICA EL TRIGAL,0.01677111396736732,0.125594643379132
PB185,PB185-Parada / Pasarela Albany,31252,COLEGIO ROCKET ADULTOS DE LA FLORIDA,0.011999438880634738,0.37891120358651714
PB242,PB242-Parada 6 / (M) Los Libertadores,31252,COLEGIO ROCKET ADULTOS DE LA FLORIDA,0.009514224341125763,0.16907304787053745
PB186,PB186-Av. Independencia / Esq. H. De Iquique,31252,COLEGIO ROCKET ADULTOS DE LA FLORIDA,0.0034801705307088296,0.26818605288365
PB187,PB187-Av. Independencia / Esq. H. La Concepción,10309,ESCUELA EDUC.DIF. STA. TERESA DE AVILA,0.010181027301099784,0.10282808612462918
PB188,PB188-Parada 1 / (M) Cardenal Caro,16799,CENTRO DE EDUCACION INTEGRADO DE  ADULTOS GLADYS LAZO Nº 2,0.007451203264005114,0.10009826208753451
PB251,PB251-Av. Independencia / Esq. Trigal,16799,CENTRO DE EDUCACION INTEGRADO DE  ADULTOS GLADYS LAZO Nº 2,0.00951584604136418,0.10216290486489359
PB190,PB190-Av. Independencia / Esq. El Cortijo,10225,ESCUELA PARTIC. COLEGIO BALMACEDA-RENCA,0.011271487779763128,0.10391854660329253
PB191,PB191-Av. Independencia / Esq. Quilicura,10278,ESCUELA PEDRO AGUIRRE CERDA,0.007891017228794093,0.1005380760523235
PB1707,PB1707-Av. Independencia / Esq. El Pino,10278,ESCUELA PEDRO AGUIRRE CERDA,0.00024248530671975538,0.09288954413024916
PB193,PB193-Parada 1 / (M) Vivaceta,20423,ECO ESCUELA QUPA YAPU DE TRASTORNOS ESPECÍFICOS DEL LENGUAJE,0.00293230137888569,0.1794028896141798
PB194,PB194-Av. Independencia / Esq. Módulo Lunar,10245,PARROQUIAL NUESTRA SEÑORA DEL CARMEN DE QUILICURA,0.003561185507707488,0.13812000903711918
PB195,PB195-Av. Independencia / Esq. El Olivo,10272,ESCUELA BASICA CARLOS PRATS G.,0.0017159252125876494,0.13627474874199935
PB196,PB196-Av. Independencia / Esq. Teniente Ponce,8631,COLEGIO ECHAURREN,0.007790379975872237,0.14234920350528393
