stop_id,stop_name,RBD,school_name,distance
6262304,Terminal / Juan Oldonovan,419,ESCUELA HERNÁN MÁRQUEZ HUERTA,0.3597900592758853
6698372,Los Carrera / Rafael Torreblanca,427,ESCUELA LUIS CRUZ MARTÍNEZ,0.2709322334692277
6698373,Juan O'donovan / Candelaria Goyenechea,420,LICEO FERNANDO ARIZTÍA RUIZ,0.3648404897822827
6698395,Los Carrera / Pedro León Gallo,427,ESCUELA LUIS CRUZ MARTÍNEZ,0.07626551242027842
6698397,Los Carrera / Pedro de Valdivia,8522,ESCUELA BASICA REPUBLICA DE COLOMBIA,0.012012575590142663
6698398,Los Carrera / Diego de Almagro,418,ESCUELA ISABEL PEÑA MORALES,0.054861611037186835
6698411,Los Carrera / Estadio Kinross,8536,ESCUELA REPUBLICA DE ISRAEL,0.1860061445952607
6698413,Los Carrera / Cañete,8536,ESCUELA REPUBLICA DE ISRAEL,0.4370847375722213
6698414,Los Carrera / Cañete,8536,ESCUELA REPUBLICA DE ISRAEL,0.41067794526810253
6698415,Los Carrera / Ignacio Carrera Pinto,8536,ESCUELA REPUBLICA DE ISRAEL,0.7832455561246501
6698416,Los Carrera Padre Valeriano,8536,ESCUELA REPUBLICA DE ISRAEL,0.7196420767002848
6698417,Los Carrera / Celsa Vergara,8536,ESCUELA REPUBLICA DE ISRAEL,1.030953394061182
6698418,Los Carrera / Celsa Vergara,8536,ESCUELA REPUBLICA DE ISRAEL,0.9847477031113192
6699280,"El Chañar, 1226-1262",8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,0.04015124002949073
6699281,Manuel Rodríguez /Colipi,401,ESCUELA BERNARDO O HIGGINS,0.34842119241440106
6699282,Manuel Rodríguez / Chacabuco,401,ESCUELA BERNARDO O HIGGINS,0.3177942678606529
6699283,Manuel Rodríguez / Maipu,396,INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ,0.2691927653383268
6699284,Manuel Rodríguez / Maipu,396,INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ,0.2183857441161016
6699285,Manuel Rodríguez / José Joaquín Vallejos,8507,LICEO COMERCIAL JOAQUIN VERA MORALES,0.2897033245643123
6699286,Manuel Rodríguez / Henriquez,400,LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY,0.054455204246115836
6699288,Juan López / Henriquez,400,LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY,0.11005697046359203
6699296,Juan López / H. Escobar,8533,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,0.12569114424827144
6699297,Los Carrera / Chañaral,8533,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,0.04851464734062261
6699299,Los Carrera / Los Héroes,8533,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,0.04950302326923557
6699300,Secundino Pérez / Juan Prieto,411,ESCUELA LAS CANTERAS,0.08620120644071587
6699301,Colo Colo / Los Loros,410,ESCUELA JOSÉ MANSO DE VELASCO,0.2385998322425948
6699370,Alameda Manuel Antonio Matta / Atacama,437,ESCUELA TÉCNICO PROFESIONAL,0.4310288383625205
6699371,Juan Godoy /Alameda,437,ESCUELA TÉCNICO PROFESIONAL,0.3583528103136481
6699374,Chañarcillo / Maipú,429,LICEO CATÓLICO ATACAMA,0.1406458898874052
6699375,"Grumete Venancio Díaz / Los Loros, 1565",434,ESCUELA SAN VICENTE DE PAUL,0.26821228710943895
6699376,Colo Colo / Brasil,8503,INST.SUP.DE COMERCIO EDUARDO FREI M.,0.36967737603876305
6699377,Henríquez / Gabriela Mistral,8500,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS,0.14295353957724827
6699378,Henríquez / Manuel Rodriguez,400,LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY,0.06145084586658554
6703529,Juan Martínez / A. Sepúlveda,416,ESCUELA ABRAHAM SEPÚLVEDA PIZARRO,0.04095197301337282
6703530,Juan Martínez / Ayacucho,8532,ESCUELA BASICA LIBERTADORES DE CHILE,0.08451387577595845
6703532,Juan Martínez / Ramón Freire,8531,ESCUELA BASICA IRENE FREI DE CID,0.4372957065009645
6703533,Juan Martínez / Batallones de Atacama,437,ESCUELA TÉCNICO PROFESIONAL,0.35718404161898437
6703535,Panamericana Norte / Centenario,8508,LICEO POLIVALENTE JUAN A.RIOS,0.4231361160321398
6703536,Panamericana Norte / Rómulo Peña,8508,LICEO POLIVALENTE JUAN A.RIOS,0.2746736622727217
6703537,Copayapu / Batallones de Atacama,437,ESCUELA TÉCNICO PROFESIONAL,0.13297152451548083
6703538,Alameda Manuel Antonio Matta / juan Godoy,437,ESCUELA TÉCNICO PROFESIONAL,0.3530724527053688
6703539,Atacama / Yerbas Buenas,429,LICEO CATÓLICO ATACAMA,0.11624562850405779
6703541,Atacama Maipú,429,LICEO CATÓLICO ATACAMA,0.1340055517739708
6703542,Atacama / chacabuco,429,LICEO CATÓLICO ATACAMA,0.2001142084704726
6703544,Atacama / José Joaquín Vallejos,417,COLEGIO BUEN PASTOR,0.4725461667523894
6703545,José Joaquín Vallejos / Cacique Hualimia,417,COLEGIO BUEN PASTOR,0.44316445483378203
6703566,Bernardo O'Higgins / Juan Antonio Ríos,417,COLEGIO BUEN PASTOR,0.1276470509864406
6703567,"Bernardo O'Higgins, / Henriquez",417,COLEGIO BUEN PASTOR,0.15773156016125725
6703568,Henríquez / Henrquez,8500,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS,0.17378046493156335
6703569,Los Loros / Carlos Condell,434,ESCUELA SAN VICENTE DE PAUL,0.25859204868289803
6703570,El Chañar / Grumete Venancio Díaz,8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,0.5870458102658138
6703573,Copayapu / Jumbo,8514,LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA,0.3336220928806593
6703575,Copayapu / Los Estudiantes,8533,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,0.39350980428666155
6703576,Copayapu / Vicuña,399,LICEO JOSÉ ANTONIO CARVAJAL,0.3272877105177898
6703577,Vicuña Bernardo O´Higgins,8533,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,0.1685500142491518
6703580,Manuel Rodríguez /Mendez,8500,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS,0.10230021515799949
6703587,Manuel Rodríguez / Yerbas Buenas,430,LICEO POLITÉCNICO BELÉN,0.1271002192240353
6703588,Manuel Rodríguez / Yumbel,430,LICEO POLITÉCNICO BELÉN,0.2111613807088845
6703589,Rodríguez / Rodriguez,396,INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ,0.37037465333838115
6703590,Juan Martínez / Alameda,437,ESCUELA TÉCNICO PROFESIONAL,0.437142649737538
6703594,Henríquez / Los Carreras,400,LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY,0.0998777805254914
6703595,Henríquez / B. O´Higgins,433,COLEGIO ADVENTISTA DE COPIAPÓ,0.17528706948188744
6703596,Henríquez / Copayapu,415,LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE,0.0740082673435425
6703597,Chañarcillo / Copayapu,397,LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO,0.1013063706819235
6703598,Chañarcillo / Salas,397,LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO,0.3504142900705655
6703599,Chañarcillo / Colipi,429,LICEO CATÓLICO ATACAMA,0.4075396340779913
6703600,Chañarcillo / Chacabuco,429,LICEO CATÓLICO ATACAMA,0.26720612441365044
6703601,Chañarcillo / Yerbas Buenas,429,LICEO CATÓLICO ATACAMA,0.018171399691322636
6703602,Chañarcillo / Yumbel,431,LICEO SAGRADO CORAZÓN,0.07877141169313066
6703604,Panamericana Norte / JV Blanco,437,ESCUELA TÉCNICO PROFESIONAL,0.044508897488031086
6703605,Atacama / Alameda,437,ESCUELA TÉCNICO PROFESIONAL,0.49711846830230044
6703606,Atacama / Colipi,429,LICEO CATÓLICO ATACAMA,0.38879468585752175
6703764,Carlos Condell / Los Loros,434,ESCUELA SAN VICENTE DE PAUL,0.3004543272613583
6703781,Grumete Venancio Díaz / Río Manflas,8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,0.602494376008012
6703797,Ramón Freire / Bencinera,8508,LICEO POLIVALENTE JUAN A.RIOS,0.22763389612947987
6703839,Atacama / Henriquez,415,LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE,0.1585085585458656
6703840,Bernardo O'Higgins / Conrado Araya,8518,LICEO ESTACION CENTRAL,0.3122231209635086
6703865,Los Aromos / Luís Flores,8511,LICEO EXPERIMENTAL ARTISTICO B-65,0.17243899898771814
6703866,Copayapu / Carlos Van Buren,8514,LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA,0.29042017283892874
6703867,Circunvalación / Yumbel,430,LICEO POLITÉCNICO BELÉN,0.14443773041831717
6703870,Circunvalación / Yerbas Buenas,430,LICEO POLITÉCNICO BELÉN,0.1583594188323161
6703945,Vallenar / Cerro Blanco,407,ESCUELA JESÚS FERNÁNDEZ HIDALGO,0.19611389215218783
