stop_id,stop_name,RBD,school_name,distance
PB241,PB241-Parada / Mall Plaza Norte - Los Libertadores,12775,INSTITUTO  DOMINGO  EYZAGUIRRE,0.5589411501742019
PB184,PB184-Los Libertadores / Esq. Av. A. Vespucio,25482,ESC. PART. ARTISTICA EL TRIGAL,0.4697924600973466
PB185,PB185-Parada / Pasarela Albany,31252,COLEGIO ROCKET ADULTOS DE LA FLORIDA,0.3362663032489197
PB242,PB242-Parada 6 / (M) Los Libertadores,31252,COLEGIO ROCKET ADULTOS DE LA FLORIDA,0.2667223505755419
PB186,PB186-Av. Independencia / Esq. H. De Iquique,31252,COLEGIO ROCKET ADULTOS DE LA FLORIDA,0.09787095125000904
PB187,PB187-Av. Independencia / Esq. H. La Concepción,10309,ESCUELA EDUC.DIF. STA. TERESA DE AVILA,0.28538154991374626
PB188,PB188-Parada 1 / (M) Cardenal Caro,16799,CENTRO DE EDUCACION INTEGRADO DE  ADULTOS GLADYS LAZO Nº 2,0.20899267055370926
PB251,PB251-Av. Independencia / Esq. Trigal,16799,CENTRO DE EDUCACION INTEGRADO DE  ADULTOS GLADYS LAZO Nº 2,0.26676773074004606
PB190,PB190-Av. Independencia / Esq. El Cortijo,10225,ESCUELA PARTIC. COLEGIO BALMACEDA-RENCA,0.3158959907053793
PB191,PB191-Av. Independencia / Esq. Quilicura,10278,ESCUELA PEDRO AGUIRRE CERDA,0.22130001910093713
PB1707,PB1707-Av. Independencia / Esq. El Pino,10278,ESCUELA PEDRO AGUIRRE CERDA,0.007270552608820517
PB193,PB193-Parada 1 / (M) Vivaceta,20423,ECO ESCUELA QUPA YAPU DE TRASTORNOS ESPECÍFICOS DEL LENGUAJE,0.0825398859597182
PB194,PB194-Av. Independencia / Esq. Módulo Lunar,10245,PARROQUIAL NUESTRA SEÑORA DEL CARMEN DE QUILICURA,0.10013799968251288
PB195,PB195-Av. Independencia / Esq. El Olivo,10272,ESCUELA BASICA CARLOS PRATS G.,0.04850193664095678
PB196,PB196-Av. Independencia / Esq. Teniente Ponce,8631,COLEGIO ECHAURREN,0.21848387898783483
PB259,PB259-Av. Independencia / Esq. B. Mandujano,10266,ESCUELA DRA.ELOISA DIAZ INSUNZA,0.10852779976560172
PB198,PB198-Parada 1 / (M) Conchalí,10228,ESCUELA PARTICULAR PRIMITIVA ECHEVERRIA,0.2134025305920015
PB1967,PB1967-Av. Independencia / Esq. Pablo Urzúa,8609,COLEGIO SAN IGNACIO,0.08969659409505458
PB1964,PB1964-Parada 1 / Einstein - Independencia,16894,ESCUELA ESPECIAL N°204 ANGEL MIGUEL,0.3220091168905689
PB1960,PB1960-Parada 6 / (M) Pza. Chacabuco,24851,ESCUELA DE PARVULOS N°1528 MI RINCON,0.06205219032297593
PB1958,PB1958-Av. Independencia / Esq. Los Nidos,8665,ESCUELA BASICA N°43 PATRONATO SAN ANTONIO,0.08943344790393866
PB1957,PB1957-Av. Independencia / Esq. Central,8665,ESCUELA BASICA N°43 PATRONATO SAN ANTONIO,0.22741018775427507
PB1955,PB1955-Av. Independencia / Esq. San Luis,408,ESCUELA PEDRO LEÓN GALLO,0.03090338241843331
PB1953,PB1953-Parada 1 / (M) Hospitales,25062,ESCUELA BÁSICA N°993 ANTONIO BORQUEZ SOLAR ANEXO,0.16784506184555129
