stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6262304,,Terminal / Juan Oldonovan,,-27.41197107,-70.26977469,,,0,,,0
6698372,,Los Carrera / Rafael Torreblanca,,-27.39484159,-70.2969929,,,0,,,0
6698373,,Juan O'donovan / Candelaria Goyenechea,,-27.40948544,-70.27170628,,,0,,,0
6698395,,Los Carrera / Pedro León Gallo,,-27.393595,-70.29854329,,,0,,,0
6698397,,Los Carrera / Pedro de Valdivia,,-27.38706666,-70.30516407,,,0,,,0
6698398,,Los Carrera / Diego de Almagro,,-27.38365525,-70.30827586,,,0,,,0
6698411,,Los Carrera / Estadio Kinross,,-27.41223305,-70.28256725,,,0,,,0
6698413,,Los Carrera / Cañete,,-27.41045974,-70.28474544,,,0,,,0
6698414,,Los Carrera / Cañete,,-27.41096064,-70.28467108,,,0,,,0
6698415,,Los Carrera / Ignacio Carrera Pinto,,-27.40782129,-70.28704497,,,0,,,0
6698416,,Los Carrera Padre Valeriano,,-27.40849247,-70.28678863,,,0,,,0
6698417,,Los Carrera / Celsa Vergara,,-27.40593197,-70.28854915,,,0,,,0
6698418,,Los Carrera / Celsa Vergara,,-27.40647665,-70.28845377,,,0,,,0
6699280,,"El Chañar, 1226-1262",,-27.35782727,-70.31125278,,,0,,,0
6699281,,Manuel Rodríguez /Colipi,,-27.36552394,-70.33019722,,,0,,,0
6699282,,Manuel Rodríguez / Chacabuco,,-27.36495701,-70.33102065,,,0,,,0
6699283,,Manuel Rodríguez / Maipu,,-27.36404359,-70.33216423,,,0,,,0
6699284,,Manuel Rodríguez / Maipu,,-27.36364382,-70.33267039,,,0,,,0
6699285,,Manuel Rodríguez / José Joaquín Vallejos,,-27.36657918,-70.32872468,,,0,,,0
6699286,,Manuel Rodríguez / Henriquez,,-27.36914019,-70.32525357,,,0,,,0
6699288,,Juan López / Henriquez,,-27.3705626,-70.32503227,,,0,,,0
6699296,,Juan López / H. Escobar,,-27.3720982,-70.32290161,,,0,,,0
6699297,,Los Carrera / Chañaral,,-27.37245825,-70.32216699,,,0,,,0
6699299,,Los Carrera / Los Héroes,,-27.37289137,-70.32145053,,,0,,,0
6699300,,Secundino Pérez / Juan Prieto,,-27.37060473,-70.32020867,,,0,,,0
6699301,,Colo Colo / Los Loros,,-27.36362524,-70.31620681,,,0,,,0
6699370,,Alameda Manuel Antonio Matta / Atacama,,-27.36252472,-70.34135163,,,0,,,0
6699371,,Juan Godoy /Alameda,,-27.36396607,-70.34251928,,,0,,,0
6699374,,Chañarcillo / Maipú,,-27.36767252,-70.33576548,,,0,,,0
6699375,,"Grumete Venancio Díaz / Los Loros, 1565",,-27.36524524,-70.31377405,,,0,,,0
6699376,,Colo Colo / Brasil,,-27.36742003,-70.32028914,,,0,,,0
6699377,,Henríquez / Gabriela Mistral,,-27.36787492,-70.32388841,,,0,,,0
6699378,,Henríquez / Manuel Rodriguez,,-27.36927176,-70.32488638,,,0,,,0
6703529,,Juan Martínez / A. Sepúlveda,,-27.35737227,-70.34702808,,,0,,,0
6703530,,Juan Martínez / Ayacucho,,-27.35622789,-70.34841968,,,0,,,0
6703532,,Juan Martínez / Ramón Freire,,-27.35328549,-70.35188069,,,0,,,0
6703533,,Juan Martínez / Batallones de Atacama,,-27.35944478,-70.34440488,,,0,,,0
