RBD,NOM_RBD,COD_ENSE2,COD_COM_RBD,COD_PRO_RBD,PROM_ASIS,PROM_ASIS_REP
1,LICEO POLITECNICO ARICA,7,15101,151,88.7191601049869,68.68
1,LICEO POLITECNICO ARICA,8,15101,151,86.4533333333333,61.1333333333333
1,LICEO POLITECNICO ARICA,7,15101,151,91.0736842105263,85.0
1,LICEO POLITECNICO ARICA,8,15101,151,90.5405405405405,50.0
3,ESC. PEDRO VICENTE GUTIERREZ TORRES,3,15101,151,100.0,100.0
3,ESC. PEDRO VICENTE GUTIERREZ TORRES,6,15101,151,100.0,100.0
4,LICEO OCTAVIO PALMA PEREZ,5,15101,151,93.2891089108911,45.6666666666667
5,JOVINA NARANJO FERNANDEZ,2,15101,151,89.4385964912281,70.0
5,JOVINA NARANJO FERNANDEZ,5,15101,151,89.8283261802575,51.2857142857143
5,JOVINA NARANJO FERNANDEZ,6,15101,151,82.9803921568627,64.2
7,L. POLI. ANTONIO VARAS DE LA BARRA,7,15101,151,91.7157894736842,75.0
7,L. POLI. ANTONIO VARAS DE LA BARRA,7,15101,151,93.9207547169811,78.7777777777778
7,L. POLI. ANTONIO VARAS DE LA BARRA,7,15101,151,93.5902140672783,84.5
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,2,15101,151,90.7931034482759,66.8
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,5,15101,151,90.2291666666667,71.8235294117647
10,ESCUELA REPUBLICA DE FRANCIA,2,15101,151,80.5771428571429,40.0
11,ESC. GRAL. PEDRO LAGOS MARCHANT,2,15101,151,92.9387096774194,67.0
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,2,15101,151,84.9752066115702,60.0
14,ESCUELA ROMULO J. PENA MATURANA,2,15101,151,90.8424657534247,83.0
15,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,2,15101,151,93.8721804511278,83.0
15,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,5,15101,151,93.0655737704918,87.9
16,ESCUELA REGIMIENTO RANCAGUA,2,15101,151,98.5433070866142,78.3333333333333
17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,2,15101,151,92.1056910569106,80.0
22,ESCUELA GABRIELA MISTRAL,2,15101,151,87.7164179104478,27.0
25,COLEGIO CENTENARIO DE ARICA,2,15101,151,86.609126984127,68.4117647058823
25,COLEGIO CENTENARIO DE ARICA,5,15101,151,84.4,50.5
26,ESCUELA REPUBLICA DE ARGENTINA,2,15101,151,89.067264573991,74.4285714285714
28,ESCUELA RICARDO SILVA ARRIAGADA,2,15101,151,91.1732101616628,66.6666666666667
28,ESCUELA RICARDO SILVA ARRIAGADA,6,15101,151,88.671875,85.0
29,ESCUELA AMERICA,2,15101,151,93.7816326530612,87.3684210526316
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,2,15101,151,89.7318982387475,74.7777777777778
35,ESCUELA GRAL. MANUEL BAQUEDANO,2,15101,151,93.0602409638554,89.0
36,ESCUELA IGNACIO CARRERA PINTO,2,15101,151,91.6407407407407,68.6
42,ESCUELA MOLINOS LLUTA,2,15101,151,97.8181818181818,92.0
45,COLEGIO ITALIANO SANTA ANA,2,15101,151,89.0588235294118,76.0
45,COLEGIO ITALIANO SANTA ANA,5,15101,151,89.0625,81.0
50,COLEGIO ADVENTISTA DE ARICA,2,15101,151,85.5416666666667,15.0
52,LICEO BICENTENARIO DOMINGO SANTA MARIA,2,15101,151,81.4840484048405,42.8108108108108
52,LICEO BICENTENARIO DOMINGO SANTA MARIA,5,15101,151,84.5662251655629,56.0689655172414
52,LICEO BICENTENARIO DOMINGO SANTA MARIA,7,15101,151,84.6960486322188,53.1111111111111
52,LICEO BICENTENARIO DOMINGO SANTA MARIA,7,15101,151,86.9761904761905,76.0
52,LICEO BICENTENARIO DOMINGO SANTA MARIA,7,15101,151,87.9753086419753,83.0
56,COLEGIO SAN MARCOS DE ARICA,2,15101,151,93.7228346456693,56.0
56,COLEGIO SAN MARCOS DE ARICA,5,15101,151,94.4827586206897,87.0
59,COLEGIO SAN JORGE,5,15101,151,91.9277108433735,39.0
60,COLEGIO ALEMAN DE ARICA,2,15101,151,86.7491467576792,74.6666666666667
60,COLEGIO ALEMAN DE ARICA,5,15101,151,88.8440677966102,59.0
67,ABRAHAM LINCOLN SCHOOL,2,15101,151,90.0,90.0
78,LICEO GRANADEROS,7,15201,152,87.9295774647887,45.0
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,7,1101,11,88.9291338582677,73.9375
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,7,1101,11,89.5714285714286,88.5
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,7,1101,11,86.7045454545455,48.5
103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,5,1101,11,81.0105263157895,72.6666666666667
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,2,1101,11,86.0,77.625
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,5,1101,11,84.8269230769231,81.7857142857143
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,7,1101,11,83.6708074534161,61.3076923076923
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,7,1101,11,83.68,55.0
107,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,2,1101,11,86.5671641791045,60.0
107,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,5,1101,11,84.2781954887218,58.8235294117647
108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,7,1101,11,84.6967509025271,50.25
108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,7,1101,11,81.0389105058366,47.8888888888889
109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,2,1101,11,89.5821727019499,90.0
109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,5,1101,11,87.4111675126904,83.5714285714286
109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,7,1101,11,90.8085106382979,90.0
109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,7,1101,11,89.1533333333333,95.0
110,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,2,1101,11,88.431693989071,70.2857142857143
110,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,5,1101,11,88.0566037735849,68.0
111,ESCUELA GABRIELA MISTRAL,2,1101,11,82.0670289855072,37.8
112,ESCUELA EDUARDO LLANOS,2,1101,11,88.6145648312611,82.2
113,ESCUELA ALMIRANTE PATRICIO LYNCH,2,1101,11,83.9732685297691,72.3
114,ESCUELA PLACIDO VILLARROEL,2,1101,11,86.7385620915033,73.8571428571429
116,COLEGIO REPUBLICA DE CROACIA,2,1101,11,87.4246823956443,69.1111111111111
117,ESCUELA PAULA JARAQUEMADA ALQUIZAR,2,1101,11,82.3181019332162,9.5
119,ESCUELA CENTENARIO,2,1101,11,88.7709497206704,62.6666666666667
122,ESCUELA THILDA PORTILLO OLIVARES,2,1101,11,85.0,85.0
123,COLEGIO ESPANA,2,1101,11,79.0968421052632,20.0
124,LICEO LUIS CRUZ MARTINEZ,5,1101,11,86.1983739837398,54.3
124,LICEO LUIS CRUZ MARTINEZ,7,1101,11,87.6511056511057,68.25
124,LICEO LUIS CRUZ MARTINEZ,7,1101,11,92.0969696969697,79.0
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,2,1101,11,83.5458333333333,50.0
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,5,1101,11,84.1909722222222,69.2857142857143
126,COLEGIO REPUBLICA DE ITALIA,2,1101,11,83.3339517625232,74.0
127,LICEO MARIA AUXILIADORA,2,1101,11,88.3195364238411,40.0
127,LICEO MARIA AUXILIADORA,5,1101,11,85.7070707070707,49.5
129,LICEO SUPERIOR GABRIELA MISTRAL,5,1101,11,93.7113402061856,96.6666666666667
130,COLEGIO NORTH COLLEGE,2,1101,11,88.3694029850746,33.0
131,COLEGIO ESCASCE,2,1101,11,86.456,69.0
131,COLEGIO ESCASCE,5,1101,11,85.4838709677419,61.0
132,COLEGIO BAJO MOLLE,2,1101,11,89.0528338136407,74.0
132,COLEGIO BAJO MOLLE,5,1101,11,91.2242990654206,75.5
133,COLEGIO ADVENTISTA DE IQUIQUE,2,1101,11,86.1106194690265,50.6666666666667
134,LICEO ATENEA,2,1101,11,94.1959183673469,69.4
134,LICEO ATENEA,5,1101,11,94.1376146788991,66.6666666666667
144,COLEGIO IQUIQUE YOUNG SCHOOL,5,1101,11,90.1496062992126,50.3333333333333
161,LICEO DE HUARA,2,1404,14,84.8380952380952,51.0
161,LICEO DE HUARA,5,1404,14,87.8166666666667,72.0
161,LICEO DE HUARA,6,1404,14,82.0652173913043,51.0
162,ESCUELA SIBAYA,2,1404,14,95.8048780487805,89.0
178,LICEO TECNICO PROFESIONAL COLCHANE,2,1403,14,86.2583333333333,64.5
187,ESCUELA VERTIENTE DEL SABER,2,1405,14,86.148288973384,92.0
191,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,5,1401,14,89.9166666666667,20.5
191,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,7,1401,14,92.0730769230769,62.5
191,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,7,1401,14,92.2510460251046,82.6666666666667
191,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,7,1401,14,91.6184210526316,76.0
193,ESCUELA BASICA POZO ALMONTE,2,1401,14,93.1721014492754,69.2857142857143
198,ESCUELA BASICA LA HUAYCA,2,1401,14,90.7666666666667,100.0
199,LICEO DOMINGO LATRILLE LASTAUNOU,3,2301,23,72.6428571428571,27.75
199,LICEO DOMINGO LATRILLE LASTAUNOU,5,2301,23,85.8735632183908,53.0
199,LICEO DOMINGO LATRILLE LASTAUNOU,6,2301,23,74.1857142857143,31.3
200,LICEO POLITECNICO DIEGO PORTALES P.,5,2301,23,90.8575851393189,69.1818181818182
200,LICEO POLITECNICO DIEGO PORTALES P.,7,2301,23,91.8846153846154,66.0
200,LICEO POLITECNICO DIEGO PORTALES P.,7,2301,23,89.7225433526011,62.1333333333333
200,LICEO POLITECNICO DIEGO PORTALES P.,7,2301,23,90.62,80.5
201,ESCUELA CARLOS CONDELL DE LA HAZA,2,2301,23,90.7969094922737,86.6666666666667
203,ESCUELA PABLO NERUDA,2,2301,23,86.34,92.0
204,ESCUELA L.GRAL.BERNARDO O´HIGGINS R.,2,2301,23,89.911877394636,77.75
205,ESCUELA ARTURO PRAT CHACON,2,2301,23,86.0369393139842,58.8
206,ESCUELA ESTADOS UNIDOS DE NORTEAMERICA,2,2301,23,93.6697530864197,76.6666666666667
