RBD,MRUN,COD_JOR,PROM_GRAL,SIT_FIN_R
396,439417,3,5.4,P
396,588452,3,5.9,P
396,3392535,3,6.3,P
396,3682443,3,5.2,P
396,5886174,3,0.0,T
396,6510196,3,5.0,P
396,6596636,3,6.7,P
396,6924218,3,5.6,P
396,7384168,3,4.6,P
396,9853037,3,0.0,T
396,10898544,3,6.1,P
396,11412292,3,5.8,P
396,12436234,3,6.5,P
396,12881819,3,4.8,P
396,14048241,3,6.0,P
396,14075687,3,4.0,R
396,14134699,3,5.7,P
396,14197770,3,4.9,P
396,15815843,3,5.5,P
396,16868310,3,5.8,P
396,17341455,3,5.9,P
396,18515637,3,4.5,P
396,19326217,3,4.5,R
396,19561881,3,5.7,P
396,19999356,3,6.1,P
396,20910309,3,6.3,P
396,21909273,3,5.9,P
396,22447188,3,5.9,P
396,23705653,3,5.5,P
396,23895920,3,6.3,P
396,25508061,3,5.7,P
396,26534039,3,5.9,P
396,26954298,3,6.5,P
396,818703,3,6.1,P
396,1868052,3,4.7,R
396,2997405,3,5.0,P
396,3699250,3,5.7,P
396,3745793,3,4.8,P
396,3793736,3,4.0,R
396,4839960,3,6.3,P
396,5199055,3,5.9,P
396,5830687,3,5.7,P
396,6524946,3,5.3,P
396,8236523,3,5.1,P
396,8313538,3,5.9,P
396,10278126,3,5.6,P
396,10364920,3,4.3,R
396,10762997,3,5.9,P
396,10866703,3,4.7,P
396,10970681,3,5.1,P
396,10986259,3,6.6,P
396,12150579,3,5.2,P
396,13124544,3,5.1,P
396,13800544,3,5.0,P
396,13971513,3,5.9,P
396,14732995,3,5.2,P
396,15208648,3,6.0,P
396,22399135,3,6.0,P
396,23086414,3,4.3,R
396,24806821,3,6.5,P
396,25134492,3,5.5,P
396,25139332,3,5.7,P
396,25462800,3,4.8,P
396,25576243,3,6.2,P
396,26937998,3,5.6,P
396,26964522,3,6.0,P
396,151100,3,5.7,P
396,1131685,3,3.7,R
396,2461631,3,6.0,P
396,2611536,3,6.4,P
396,2679404,3,4.9,P
396,2748802,3,6.2,P
396,3630812,3,5.2,P
396,4517463,3,5.7,P
396,4704926,3,5.7,P
396,5962244,3,5.7,P
