route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
101,RM,101,Recoleta - Cerrillos,,3,,FFC107,000000
102,RM,102,(M) Las Rejas - San Carlos Oriente,,3,,AF2B1E,FFFFFF
103,RM,103,Providencia - San Joaquín,,3,,AF2B1E,FFFFFF
104,RM,104,Providencia - Mall Plaza Tobalaba,,3,,AF2B1E,FFFFFF
105,RM,105,Renca - Lo Espejo,,3,,AF2B1E,FFFFFF
106,RM,106,Nueva San Martin - Peñalolen,,3,,FFC107,000000
107,RM,107,Ciudad Empresarial - Av. Departamental,,3,,AF2B1E,FFFFFF
108,RM,108,Maipu - La Florida,,3,,FFC107,000000
109,RM,109,Renca - Maipu,,3,,00929E,FFFFFF
110,RM,110,Renca - Maipu,,3,,00929E,FFFFFF
111,RM,111,(M) Pajaritos - Ciudad Satelite,,3,,00A77E,FFFFFF
113,RM,113,Ciudad Satelite - (M) Los Heroes,,3,,00A77E,FFFFFF
114,RM,114,(M) Ñuñoa - Mall Plaza Tobalaba,,3,,AF2B1E,FFFFFF
115,RM,115,Villa El Abrazo - (M) Los Heroes,,3,,00929E,FFFFFF
116,RM,116,Huechuraba - Santiago Centro,,3,,AF2B1E,FFFFFF
117,RM,117,(M) Vespucio Norte - San Joaquin,,3,,AF2B1E,FFFFFF
118,RM,118,Maipu - La Florida,,3,,00929E,FFFFFF
119,RM,119,Mapocho - Lo Espejo,,3,,00A77E,FFFFFF
120,RM,120,Renca - (M) La Cisterna,,3,,AF2B1E,FFFFFF
121,RM,121,Mapocho - Lo Espejo,,3,,00A77E,FFFFFF
124,RM,124,(M) Macul - Puente Alto,,3,,AF2B1E,FFFFFF
125,RM,125,(M) U. De Chile - Lo Espejo,,3,,00A77E,FFFFFF
126,RM,126,(M) Manuel Montt - La Higuera,,3,,00A77E,FFFFFF
201,RM,201,Mall Plaza Norte - San Bernardo,,3,,0951BC,FFFFFF
203,RM,203,Av.Recoleta - La Pintana,,3,,0951BC,FFFFFF
204,RM,204,Alameda - Gabriela,,3,,0951BC,FFFFFF
205,RM,205,Santiago - Puente Alto,,3,,0951BC,FFFFFF
206,RM,206,Centro - La Pintana,,3,,0951BC,FFFFFF
207,RM,207,Mapocho - Av. Santa Rosa,,3,,0951BC,FFFFFF
208,RM,208,Huechuraba - Centro,,3,,0951BC,FFFFFF
209,RM,209,Alameda - El Volcan,,3,,0951BC,FFFFFF
210,RM,210,Estacion Central - Puente Alto,,3,,0951BC,FFFFFF
211,RM,211,La Florida - Nos,,3,,0951BC,FFFFFF
212,RM,212,Providencia - La Pintana,,3,,0951BC,FFFFFF
214,RM,214,Santa Olga - Los Libertadores,,3,,0951BC,FFFFFF
216,RM,216,Pablo De Rokha - Vitacura,,3,,0951BC,FFFFFF
223,RM,223,Santiago - Lo Espejo,,3,,F58220,000000
224,RM,224,Ñuñoa - Gabriela,,3,,0951BC,FFFFFF
225,RM,225,Las Condes - Bahia Catalina,,3,,0951BC,FFFFFF
226,RM,226,Centro - Nonato Coo,,3,,0951BC,FFFFFF
227,RM,227,Villa Frei - Pedro Aguirre Cerda,,3,,0951BC,FFFFFF
228,RM,228,Estacion San Bernardo - (M) La Cisterna,,3,,F58220,000000
229,RM,229,(M) La Moneda - La Pintana,,3,,0951BC,FFFFFF
230,RM,230,Los Libertadores - Centro,,3,,0951BC,FFFFFF
271,RM,271,Santiago - San Bernardo,,3,,0951BC,FFFFFF
272,RM,272,Los Libertadores - Ciudad Empresarial,,3,,0951BC,FFFFFF
286,RM,286,La Pintana - Mall Alto Las Condes,,3,,F58220,000000
301,RM,301,Juan Antonio Rios - Angelmo,,3,,00A77E,FFFFFF
302,RM,302,(M) Santa Ana - La Pintana,,3,,00A77E,FFFFFF
303,RM,303,Quilicura - Plaza Italia,,3,,00A77E,FFFFFF
307,RM,307,Lo Marcoleta - Plaza Italia,,3,,00A77E,FFFFFF
308,RM,308,Lo Marcoleta - Mapocho,,3,,00A77E,FFFFFF
314,RM,314,Lo Marcoleta - Plaza Italia,,3,,00A77E,FFFFFF
321,RM,321,(M) Lo Ovalle - Lo Sierra,,3,,00A77E,FFFFFF
322,RM,322,(M) Bellavista De La Florida  - Jardin Alto,,3,,00A77E,FFFFFF
323,RM,323,(M) Bellavista De La Florida  - La Loma,,3,,00A77E,FFFFFF
325,RM,325,Gabriela - (M) Irarrazaval,,3,,00A77E,FFFFFF
329,RM,329,Mall Florida Center - Mall Plaza Oeste,,3,,00A77E,FFFFFF
345,RM,345,Lo Espejo - Alameda,,3,,00A77E,FFFFFF
348,RM,348,Rinconada - (M) Lo Ovalle,,3,,00A77E,FFFFFF
385,RM,385,Villa Francia - Florida Center,,3,,00A77E,FFFFFF
401,RM,401,Maipu - Las Condes,,3,,FFC107,000000
402,RM,402,Pudahuel - Centro,,3,,AF2B1E,FFFFFF
403,RM,403,(M) Santa Ana - La Reina,,3,,AF2B1E,FFFFFF
